Expenditure on Completed and On-going Works as on Date,,,,,,,,,,
Sr. No.,State,Work,Work ID,IDA,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ )
71191,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/208733,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71192,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/208741,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71193,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/208894,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71194,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/208898,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71195,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/208895,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71196,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/208896,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71197,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/208899,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71198,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207901,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),14-Sep-2025,AJIT KUMAR,Payment Success,140000
71199,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207902,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),14-Sep-2025,AJIT KUMAR,Payment Success,140000
71200,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/207917,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),14-Sep-2025,AJIT KUMAR,Payment Success,140000
71201,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/210021,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,70000
71202,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/209955,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71203,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210798,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71204,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210801,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71205,Jharkhand,Construction of common work sheds/ common covered sitting area,WS/MP607/2025-2026/209959,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71206,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209134,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71207,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210009,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71208,Jharkhand,Purchase of mobile water tankers,WS/MP607/2025-2026/210011,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71209,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209132,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71210,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209133,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71211,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209135,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71212,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209136,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71213,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209137,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71214,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209138,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71215,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209140,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71216,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/209143,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71217,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/209954,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71218,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210013,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71219,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210023,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71220,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210025,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71221,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210031,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71222,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210034,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71223,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210192,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71224,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210194,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71225,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210268,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71226,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/210270,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,140000
71227,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210269,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71228,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210472,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71229,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210629,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71230,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210630,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71231,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210631,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71232,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210633,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71233,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210640,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71234,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210643,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71235,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210644,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,105000
71236,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210180,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71237,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210182,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71238,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210186,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71239,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210189,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71240,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210191,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),15-Sep-2025,AJIT KUMAR,Payment Success,70000
71241,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210009,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),03-Jul-2026,AJIT KUMAR,Payment Success,30000
71242,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211460,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71243,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210020,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,70000
71244,Jharkhand,"Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",WS/MP607/2025-2026/211465,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,175000
71245,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211463,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71246,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211462,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71247,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211455,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71248,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211454,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71249,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211445,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71250,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211440,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71251,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211428,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71252,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210861,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71253,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211211,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71254,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/211212,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71255,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211213,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71256,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211426,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71257,Jharkhand,Construction of water tanks,WS/MP607/2025-2026/210833,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71258,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210831,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71259,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210856,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71260,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/210864,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,140000
71261,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210868,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71262,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210873,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71263,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/210876,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71264,Jharkhand,Installing hand pumps,WS/MP607/2025-2026/211214,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71265,Jharkhand,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP607/2025-2026/210803,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,140000
71266,Jharkhand,Installing tube-wells and borewells,WS/MP607/2025-2026/210818,SAHEBGANJ(DEPUTY COMMISSIONER SAHEBGANJ_IDA),Vijay Kumar Hansdak,RAJMAHAL(ST),21-Sep-2025,AJIT KUMAR,Payment Success,105000
71267,Punjab,Installing tube-wells and borewells,WS/MP18314/2025-2026/242901,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,04-Feb-2026,Amarjit Singh Boring Company,Payment Success,15000
71268,Punjab,Installing tube-wells and borewells,WS/MP18314/2025-2026/242900,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,04-Feb-2026,Amarjit Singh Boring Company,Payment Success,15000
71269,Punjab,Installing tube-wells and borewells,WS/MP18314/2025-2026/177345,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,10-Feb-2026,Amarjit Singh Boring Company,Payment Success,16200
71270,Punjab,Installing tube-wells and borewells,WS/MP18314/2025-2026/177344,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,02-Dec-2025,Amarjit Singh Boring Company,Payment Success,16200
71271,Punjab,Installing tube-wells and borewells,WS/MP18314/2025-2026/177344,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,02-Dec-2025,Amarjit Singh Boring Company,Payment Success,16200
71272,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/177608,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,02-Dec-2025,The Dhaula Gram Udyog Samiti Dhaula,Payment Success,20325
71273,Punjab,Construction of additional rooms and halls in the existing public and community building,WS/MP18314/2025-2026/177356,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,16-Feb-2026,The Dhaula Gram Udyog Samiti Dhaula,Payment Success,10200
71274,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/201770,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,13-Aug-2026,ASST ENG MUZ LAEO1,Payment Success,470816
71275,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/212988,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,26-Aug-2025,ASST ENG MUZ LAEO1,Payment Success,479513
71276,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/212754,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,26-Sep-2025,ASST ENG MUZ LAEO1,Payment Success,425269
71277,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/194847,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,09-Oct-2025,ASST ENG MUZ LAEO1,Payment Success,1483527
71278,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/191379,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,29-Aug-2025,ASST ENG MUZ LAEO1,Payment Success,316144
71279,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/220187,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,17-Feb-2026,ASST ENG MUZ LAEO1,Payment Success,1456642
71280,Bihar,Security gates in streets/public place for safety purpose,WS/MP18040/2025-2026/210584,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,13-Jan-2026,ASST ENG MUZ LAEO1,Payment Success,1258234
71281,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2024-2025/180597,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,05-Jan-2026,ASST ENG MUZ LAEO1,Payment Success,1480671
71282,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/191379,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,05-Jul-2025,ASST ENG MUZ LAEO1,Payment Success,423962
71283,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/194824,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,07-Jul-2025,ASST ENG MUZ LAEO1,Payment Success,1481744
71284,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/194848,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,25-Jul-2025,ASST ENG MUZ LAEO1,Payment Success,1496802
71285,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/213184,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,18-Dec-2025,ASST ENG MUZ LAEO1,Payment Success,1474942
71286,Bihar,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18040/2025-2026/194849,MUZAFFARPUR(DISTRICT PLANNING OFFICER MUZAFFARPUR_IDA),RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,30-Jun-2025,ASST ENG MUZ LAEO1,Payment Success,1494106
71287,West Bengal,Construction of common work sheds/ common covered sitting area,WS/MP18253/2024-2025/136910,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),BAPI HALDAR,MATHURAPUR(SC),03-Jul-2025,SINHA ENTERPRISE,Payment Success,483932
71288,Assam,Construction of community centers and community halls,WS/MP18024/2025-2026/206722,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,18-Sep-2025,Bidyut Bharali,Payment Success,92990
71289,Assam,Construction of culverts and bridges,WS/MP18024/2025-2026/206717,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,06-Jan-2026,Bidyut Bharali,Payment Success,126600
71290,Assam,Construction of community centers and community halls,WS/MP18024/2025-2026/148301,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,13-Nov-2025,Bidyut Bharali,Payment Success,38368
71291,Assam,Construction of community centers and community halls,WS/MP18024/2025-2026/148301,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,26-Sep-2025,Bidyut Bharali,Payment Success,108180
71292,Assam,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18024/2025-2026/206721,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,12-Jan-2026,Bidyut Bharali,Payment Success,99960
71293,Assam,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18024/2025-2026/206721,CHARAIDEO(Deputy Commissioner Charaideo_IDA),GAURAV GOGOI,JORHAT,21-Jan-2026,Bidyut Bharali,Payment Success,40000
